name	age	causative	random	percentile
Anne	23	4.833333333333333	2.5	0.9636
Anne	24	5.0	3.75	0.8762
Anne	25	3.888888888888889	4.666666666666667	0.2802
Anne	26	8.5	5.6	0.9952
Anne	27	5.222222222222222	4.0	0.8728
Anne	28	6.666666666666667	4.666666666666667	0.9548
Anne	29	6.333333333333333	5.222222222222222	0.7994
Anne	30	3.5714285714285716	2.7142857142857144	0.7434000000000001
Anne	31	5.083333333333333	6.166666666666667	0.14720000000000003
Anne	32	4.916666666666667	5.916666666666667	0.16080000000000003
Anne	33	5.444444444444445	4.888888888888889	0.6956
Aran	24	5.777777777777778	5.222222222222222	0.7004
Aran	25	5.777777777777778	5.0	0.7442
Aran	26	4.8	5.0	0.4486
Aran	27	6.615384615384615	7.3076923076923075	0.2398
Aran	28	6.909090909090909	6.636363636363637	0.6018
Aran	29	5.181818181818182	5.818181818181818	0.2766
Aran	30	9.25	7.416666666666667	0.9576
Aran	31	9.416666666666666	7.666666666666667	0.9398
Aran	32	9.642857142857142	8.928571428571429	0.7626000000000001
Aran	33	8.333333333333334	7.75	0.6802
Aran	34	7.2	6.7	0.6542
Aran	35	6.454545454545454	6.363636363636363	0.5364
Becky	25	3.1666666666666665	2.75	0.6496
Becky	26	5.0	4.222222222222222	0.7488
Becky	27	6.0	5.0	0.809
Becky	28	5.545454545454546	4.818181818181818	0.7628
Becky	29	6.2727272727272725	5.0	0.9046000000000001
Becky	30	6.5	2.5	0.996
Becky	31	4.571428571428571	2.857142857142857	0.8858
Becky	32	4.5	2.5	0.9212
Becky	33	3.1666666666666665	2.5	0.6936
Becky	34	4.571428571428571	3.0	0.8934
Becky	35	4.875	4.0	0.7786000000000001
Carl	22	6.3	4.0	0.9944000000000001
Carl	23	8.4	4.7	0.9998
Carl	24	6.4	4.4	0.9766
Carl	25	3.625	2.875	0.7448
Carl	26	1.5	2.1666666666666665	0.317
Carl	27	3.875	3.625	0.6028
Carl	28	5.6	3.8	0.9662000000000001
Carl	29	5.0	2.875	0.9776
Carl	30	4.25	2.75	0.916
Carl	31	2.3333333333333335	2.1666666666666665	0.5734
Carl	32	3.3333333333333335	3.6666666666666665	0.4128
Dominic	24	4.5	4.4	0.574
Dominic	25	6.1	4.8	0.8982
Dominic	26	5.4	4.7	0.7738
Dominic	27	6.2	4.6	0.9488
Dominic	28	6.5	5.1	0.8968
Dominic	29	7.545454545454546	5.909090909090909	0.9414
Dominic	30	6.909090909090909	5.545454545454546	0.9154
Dominic	31	6.1	4.6	0.923
Dominic	32	2.5555555555555554	4.333333333333333	0.06400000000000002
Dominic	33	3.888888888888889	4.0	0.4632
Dominic	34	6.8	4.7	0.981
Dominic	35	6.555555555555555	4.0	0.996
Gail	25	4.666666666666667	5.333333333333333	0.335
Gail	26	4.6	5.6	0.2192
Gail	27	6.333333333333333	6.666666666666667	0.3928
Gail	28	9.090909090909092	6.181818181818182	0.9866
Gail	29	4.166666666666667	2.3333333333333335	0.8998
Gail	30	5.0	3.375	0.9144
Gail	31	5.888888888888889	4.666666666666667	0.8382000000000001
Gail	32	5.583333333333333	6.416666666666667	0.22460000000000002
Gail	33	4.8	4.6	0.5888
Gail	34	6.777777777777778	3.7777777777777777	0.993
Gail	35	7.3	5.3	0.9486
Joel	24	5.111111111111111	4.555555555555555	0.708
Joel	25	6.8	5.6	0.8344
Joel	26	5.375	4.25	0.7994
Joel	27	5.5	5.0	0.674
Joel	28	5.2727272727272725	5.636363636363637	0.3912
Joel	29	6.636363636363637	5.7272727272727275	0.786
Joel	30	6.571428571428571	7.0	0.355
Joel	31	9.2	8.0	0.879
Joel	32	12.23076923076923	7.615384615384615	0.9998
Joel	33	7.818181818181818	5.909090909090909	0.9486
Joel	34	6.111111111111111	5.222222222222222	0.7638
John	24	2.3333333333333335	2.3333333333333335	0.5478
John	25	2.6666666666666665	2.8333333333333335	0.4584
John	26	4.375	4.125	0.5998
John	27	4.375	4.0	0.6442
John	28	4.888888888888889	3.3333333333333335	0.9244
John	29	2.6666666666666665	3.5555555555555554	0.22860000000000003
John	30	4.0	3.7777777777777777	0.5954
John	31	4.2	4.2	0.5248
John	32	4.666666666666667	4.111111111111111	0.7224
John	33	6.7	4.9	0.9404
John	34	5.181818181818182	5.181818181818182	0.5032
John	35	4.909090909090909	3.8181818181818183	0.8758
Liz	24	1.6	1.8	0.4542
Liz	25	3.8	2.0	0.899
Liz	26	4.8	4.1	0.7926
Liz	27	5.888888888888889	3.7222222222222223	0.9808
Liz	28	4.75	3.875	0.7786000000000001
Liz	29	4.666666666666667	4.111111111111111	0.6796
Liz	30	6.125	3.375	0.985
Liz	31	1.8571428571428572	2.4285714285714284	0.3528
Liz	32	0.6666666666666666	2.0	0.11560000000000001
Liz	33	4.0	3.5555555555555554	0.6940000000000001
Liz	34	5.5	2.75	0.9962
Liz	35	1.0	1.2	0.4502
Nicole	26	7.222222222222222	5.333333333333333	0.9338000000000001
Nicole	27	6.375	4.25	0.9556
Nicole	28	5.333333333333333	4.333333333333333	0.8214
Nicole	29	7.916666666666667	6.666666666666667	0.8732
Nicole	30	8.363636363636363	5.818181818181818	0.9924000000000001
Nicole	31	6.846153846153846	6.384615384615385	0.71
Nicole	32	7.363636363636363	5.909090909090909	0.9034
Nicole	33	6.25	5.416666666666667	0.79
Nicole	34	7.923076923076923	6.769230769230769	0.8702
Nicole	35	8.5	6.714285714285714	0.9826
Nicole	36	10.375	7.375	1.0
Ruth	24	2.875	3.25	0.4104
Ruth	25	3.6666666666666665	3.7777777777777777	0.499
