name	age	causative	random
Anne	22	2.0	0.0
Anne	23	2.0	1.8181818181818181
Anne	24	2.142857142857143	1.5384615384615385
Anne	25	1.8181818181818181	1.0909090909090908
Anne	26	1.875	1.1666666666666667
Anne	27	0.0	0.0
Anne	28	1.8823529411764706	2.3529411764705883
Anne	29	1.2	0.0
Anne	30	1.7777777777777777	2.0
Anne	31	1.4666666666666666	1.25
Anne	32	1.4285714285714286	0.6666666666666666
Anne	33	0.0	1.0
Aran	23	2.5714285714285716	0.0
Aran	24	1.8461538461538463	0.7272727272727273
Aran	25	1.0	0.5714285714285714
Aran	26	1.0	1.7142857142857142
Aran	27	1.6666666666666667	1.0666666666666667
Aran	28	1.0	0.0
Aran	29	1.375	1.6470588235294117
Aran	30	0.5714285714285714	0.5714285714285714
Aran	31	1.4285714285714286	2.0
Aran	32	1.1428571428571428	1.5
Aran	33	1.2727272727272727	0.8
Aran	34	1.2857142857142858	1.2857142857142858
Aran	35	0.5	2.2666666666666666
Becky	24	2.8	1.4285714285714286
Becky	25	2.5454545454545454	2.727272727272727
Becky	26	2.0	2.1333333333333333
Becky	27	2.0	0.8888888888888888
Becky	28	2.0	2.142857142857143
Becky	29	2.3636363636363638	0.8571428571428571
Becky	30	1.0	0.0
Becky	31	0.8	0.0
Becky	32	1.0	1.0
Becky	33	1.8181818181818181	1.3333333333333333
Becky	34	1.75	0.0
Becky	35	1.8461538461538463	1.2
Carl	21	2.111111111111111	1.7777777777777777
Carl	22	1.7777777777777777	0.0
Carl	23	2.6	1.4285714285714286
Carl	24	2.0	0.2857142857142857
Carl	25	2.0	0.0
Carl	26	2.8333333333333335	0.0
Carl	27	1.8181818181818181	0.8888888888888888
Carl	28	2.2222222222222223	1.5
Carl	29	2.375	0.4444444444444444
Carl	30	0.0	0.0
Carl	31	0.0	1.3333333333333333
Carl	32	1.6666666666666667	2.588235294117647
Dominic	23	0.5	2.0
Dominic	24	1.0909090909090908	2.0
Dominic	25	1.5555555555555556	0.5
Dominic	26	1.8823529411764706	0.6666666666666666
Dominic	27	2.533333333333333	1.1111111111111112
