Anne	2.0	0.0	22
Anne	1.25	0.0	23
Anne	2.933333333333333	1.0	24
Anne	2.909090909090909	1.7777777777777777	25
Anne	2.9285714285714284	1.8181818181818181	26
Anne	3.0	2.0	27
Anne	2.7096774193548385	1.6363636363636365	28
Anne	2.8275862068965516	2.0	29
Anne	2.5714285714285716	2.235294117647059	30
Anne	3.75	3.12	31
Anne	4.0	3.2857142857142856	32
Anne	4.0	3.3333333333333335	33
Aran	2.0	0.0	23
Aran	1.4285714285714286	2.0	24
Aran	2.0	0.0	25
Aran	1.7647058823529411	0.6666666666666666	26
Aran	2.4444444444444446	1.0	27
Aran	2.838709677419355	0.5714285714285714	28
Aran	2.75	0.5	29
Aran	3.1176470588235294	1.3333333333333333	30
Aran	3.380952380952381	2.1818181818181817	31
Aran	3.911111111111111	2.642857142857143	32
Aran	3.953488372093023	2.5714285714285716	33
Aran	3.9166666666666665	3.0	34
Aran	4.081632653061225	2.6666666666666665	35
Becky	1.1428571428571428	0.0	24
Becky	1.5555555555555556	0.0	25
Becky	2.111111111111111	0.5714285714285714	26
Becky	2.3157894736842106	0.5	27
Becky	2.1904761904761907	1.6923076923076923	28
Becky	2.896551724137931	2.0	29
Becky	2.6666666666666665	2.5217391304347827	30
Becky	2.56	2.8181818181818183	31
Becky	2.914285714285714	2.6956521739130435	32
Becky	3.0625	3.142857142857143	33
Becky	3.125	3.125	34
Becky	3.25	3.5483870967741935	35
Carl	1.2307692307692308	0.4	21
Carl	2.111111111111111	0.8571428571428571	22
Carl	2.3333333333333335	0.8571428571428571	23
Carl	3.066666666666667	1.7777777777777777	24
Carl	3.0	2.0	25
Carl	3.259259259259259	2.5454545454545454	26
Carl	3.04	2.6666666666666665	27
Carl	3.096774193548387	1.8181818181818181	28
Carl	3.625	2.0	29
Carl	3.5757575757575757	1.5	30
Carl	3.411764705882353	2.5	31
Carl	3.7142857142857144	2.9473684210526314	32
Dominic	0.0	0.0	23
Dominic	0.9230769230769231	1.2	24
Dominic	2.3157894736842106	0.6666666666666666	25
Dominic	2.5833333333333335	0.8888888888888888	26
Dominic	2.8275862068965516	1.8461538461538463	27
Dominic	3.0303030303030303	1.8461538461538463	28
Dominic	3.473684210526316	1.7142857142857142	29
Dominic	3.35	2.0	30
Dominic	3.9148936170212765	2.0	31
Dominic	3.590909090909091	1.7142857142857142	32
Dominic	3.8666666666666667	2.0	33
Dominic	3.9130434782608696	1.8571428571428572	34
Dominic	3.877551020408163	2.0	35
Gail	0.5714285714285714	0.0	24
Gail	1.6923076923076923	2.0	25
Gail	1.6	1.6666666666666667	26
Gail	3.0	2.4	27
Gail	2.933333333333333	2.0	28
Gail	2.769230769230769	2.4	29
Gail	3.4166666666666665	2.5555555555555554	30
Gail	3.44	2.6666666666666665	31
Gail	3.4603174603174605	3.111111111111111	32
Gail	3.6	3.037037037037037	33
Gail	3.791044776119403	3.090909090909091	34
Gail	4.090909090909091	3.272727272727273	35
Joel	0.6666666666666666	0.0	23
Joel	1.3846153846153846	0.0	24
Joel	2.1	0.0	25
Joel	1.8888888888888888	2.769230769230769	26
Joel	2.32	2.6153846153846154	27
Joel	3.2777777777777777	2.3076923076923075	28
Joel	3.7454545454545456	1.8666666666666667	29
Joel	3.9655172413793105	2.125	30
Joel	3.652173913043478	1.8823529411764706	31
Joel	3.8208955223880596	2.5	32
Joel	3.7222222222222223	2.814814814814815	33
Joel	4.0	2.9696969696969697	34
John	0.0	0.0	23
John	1.0	0.0	24
John	1.6	0.0	25
John	2.6	0.0	26
John	2.6	1.5555555555555556	27
John	2.380952380952381	1.875	28
John	3.2	2.4761904761904763	29
John	2.48	2.2857142857142856	30
John	2.875	2.5454545454545454	31
John	3.1515151515151514	2.9166666666666665	32
John	3.2	2.5454545454545454	33
John	3.4210526315789473	2.6666666666666665	34
John	3.4285714285714284	2.888888888888889	35
Liz	0.0	0.0	23
Liz	2.2857142857142856	0.0	24
Liz	2.3636363636363638	0.0	25
Liz	2.0	1.3333333333333333	26
Liz	1.3333333333333333	1.7647058823529411	27
Liz	2.2222222222222223	2.857142857142857	28
Liz	2.111111111111111	2.210526315789474	29
Liz	2.6153846153846154	2.761904761904762	30
Liz	2.56	2.3157894736842106	31
Liz	2.6153846153846154	2.1176470588235294	32
Liz	3.1176470588235294	2.608695652173913	33
Liz	3.090909090909091	3.12	34
Liz	3.3142857142857145	3.0	35
Nicole	0.5	0.0	25
Nicole	1.7142857142857142	0.0	26
Nicole	2.1818181818181817	0.0	27
Nicole	2.3333333333333335	0.6666666666666666	28
Nicole	2.9696969696969697	2.25	29
Nicole	3.0344827586206895	1.8	30
Nicole	3.2093023255813953	1.4545454545454546	31
Nicole	2.864864864864865	2.3636363636363638	33
Nicole	2.789473684210526	2.4	34
Nicole	3.7735849056603774	2.5714285714285716	35
Nicole	4.0625	2.7333333333333334	36
Ruth	0.0	0.0	23
Ruth	0.0	0.0	24
Ruth	1.5384615384615385	0.0	25
Ruth	2.3	0.0	26
Ruth	1.7647058823529411	0.0	27
Ruth	2.4444444444444446	0.0	28
Ruth	2.0	0.0	29
Ruth	2.6666666666666665	0.0	30
Ruth	2.914285714285714	0.0	31
Ruth	3.090909090909091	0.8	32
Ruth	3.6818181818181817	1.0	33
Ruth	3.9565217391304346	1.3333333333333333	34
Ruth	3.7674418604651163	1.6363636363636365	35
Ruth	3.9555555555555557	2.375	36
Warren	0.0	0.0	22
Warren	1.1428571428571428	0.0	23
Warren	2.1666666666666665	1.0	24
Warren	2.5	0.0	25
Warren	2.962962962962963	1.25	26
