purple	uhoh	alphabet	clean	cockadoodledoo	whee	pink
all	not	Mummy	I	it	Daddy	pig
pretty	hair	kill	dear	me	little	monkey
bit	carry	grape	cut	angry	eye	tea
hey	trumpet	fire	engine	hello	top	m
