ice	cake	dinner	head	nana	c	drink
no	thank	pooppoop	dear	neigh	ouch	mm
wait	try	Harold	mend	house	tomato	cheese
steam	lift	onto	press	hit	naughty	pass
train	along	wheel	door	track	rain	Donald
hot	he's	hard	cold	tiger	big	Bambi
bus	line	giraffe	wall	door	tiger	waterfall
