tree	glugglug	pear	tomato	biscuit	duck	dish
read	wipe	eat	mine	count	hold	blow
deputation	tomato	hat	duck	dish	glug	ah
penny	mouth	bag	sweetie	dish	bottle	goat
make	snow	speak	play	find	tower	on
lot	cuddle	goat	hug	lots_of	caterpillar	of
