one	monkey	blue	way	o	nap	right	Mama
brother	breakfast	favorite	plate	foot	mouth	hand	open
see	show	perhaps	follow	sing	she	sit	pick
pebble	swan	peacock	fox	violin	caterpillar	coconut	roundabout
