silly	tip	sauce	hello	peekaboo	righto	ready
man	Ellie	hello	John	sauce	nice	tomato
another	two	stop	Curly	too	engine	work
head	friend	hair	chair	dress	bag	Mum
oh	no	yes	dear	bridge	dark	Tap_the_Bat
