car	back	elephant	basket	Anna	chimney	sky
slide	Bouncer	Pingu	Ruby	achoo	byebye	smash
hm	Tigger	cheep	tweettweet	oink	circle	byebye
^^	$$	everybody	apple	him	it's	Bertie
crunch	let	move	them	finish	watch	smack
wee	Granddad	bit	me	thank_you	cake	know
