got	it's	teddy	that's	breakfast	bear	hippo
peeppeep	bye	whoops	sss	triangle	ow	wow
clean	Bill	stick	squeeze	hungry	like	dark
off	ice	steam	Granny	some	foot	she
hippo	whistle	elephant	giraffe	lion	Christmas	bird
blue	cat	hat	Harold	find	us	house
