finger	Thomas	circle	hippo	Nana	cry	r
ouch	beepbeep	thank_you	bye	peeppeep	glugglug	clicketyclack
mine	what	end	Nana	Thomas	finger	tiny
fire	there's	oh	mm	no	big	animal
mountain	corner	station	quick	back	floor	choo
knock	tip	miss	find	break	drop	carry
your	outside	Granddad_Brian	pool	forwards	choo	peel
egg	r	hippo	circle	first	Nana	finger
