okay	bye	vroom	ow	whoops_a_daisy	hiss	whoops
come	wipe	pour	pull	start	hello	purpose
roundabout	dinosaur	seven	five	three	eight	day
ten	Miss_Perdita	six	four	hiss	pound	wobble
how	crash	Sainsburys	are	try	got	Daddy
pound	ten	prickle	sock	dress	sometimes	wobble
she	girl	sick	herself	walk	brokened	break
