again	see	come	happy	open	give	do
van	elephant	horse	sheep	tomato	i	water
big	only	little	another	purple	pink	ambulance
be	happen	Mum	here	then	what	three
whoops	d	room	dog	thank_you	e	soon
turn	round	she	later	will	drink	whoops_a_daisy
