finish	coffee	foot	toast	time	rubbish	building	grape
lose	belt	toe	pen	eensie	piper	stuff	hide
open	leave	gentle	hold	move	ever	brick	belt
roll	jealous	tire	dizzy	clever	gentle	sure	heavy
stop	drop	boo	spot	whatever	heavy	jealous	poor
turn	whisper	try	wee	show	Tank	pest	drink
