close	use	open	Grandpa	ask	window	mind
finish	empty	real	must	apple	is	dangerous
open	close	shut	move	miss	hold	tell
stop	real	able	Run_Riot	Madam	John	everyday
turn	mouth	apron	arm	foot	thumb	bottom
