change	pop	monkey	stand	lap	giraffe	maybe	room
finish	as	sock	after	any	today	banana	row
open	door	shut	read	concrete	spout	again	sleep
roll	hat	tower	gate	bolt	tortoise	green	wow
stop	while	maybe	money	quick	plug	so	before
