break	work	waterfall	different	peel	red	chair
finish	afterwards	hold	drop	will	try	Bill
lose	daft	finger	arm	mouth	today	nose
stop	caterpillar	walk	swim	platform	circle	bridge
teach	happen	hide	live	eh	talk	say
turn	round	way	okay	before	push	first
