break	all_gone	everywhere	wear	dress	lick	turn	nana
change	lick	actual	everywhere	pig	mean	birth	man
dry	write	got	remember	empty	keep	sing	going
finish	show	excuse	ask	help	read	dance	give
lose	Jon	even	lift	make	already	trampoline	eight
open	fun	stuff	eight	day	box	because	first
roll	talk	clock	room	hippo	chair	star	carry
turn	round	morning	all_gone	away	wear	cut	clothes
