break	don't	shell	quite	choo	Grandma	will	orange
dry	shoulder	wedding	doll	sit	cup	stir	knee
finish	still	quite	booboo	but	breakfast	boob	brush
lose	scratch	dry	jump	tear	brush	shoulder	cry
open	use	wake	let	pick	suit	show	excuse
stop	real	don't	very	Willie	hungry	choo	hot
