break	pop	after	sad	fix	tea	fun
dry	Wednesday	first	line	top	hand	air
fill	pick	bring	run	away	pants	handy
finish	enough	darling	work	sure	why	cry
lose	throw	kick	foot	pick	cook	show
open	door	tiger	fun	everybody	Grandpa	listen
stop	finish	throw	don't	darling	touch	cook
turn	run	push	bring	kick	cook	pick
