break	same	dizzy	creche	comfy	coffee	happy	Shaun
change	open	trouser	bottom	crash	upstairs	nose	bang
open	beginning	corner	hippo	plane	pot	under	sweet
roll	word	oy	black	Tuesday	sick	how	please
stop	sweet	display	box	tomorrow	open	settee	beginning
turn	neck	head	put	take	pull	while	throat
