break	tear	wash	upside	pineapple	empty	squeeze	ma
close	fat	tunnel	draw	much	pool	ease	house
finish	empty	mend	Horace	build	Tiny_Tears	old	write
lose	milk	steal	win	crash	ease	mend	castle
open	yellow	drop	together	mouth	cycle	run	proper
roll	throw	money	point	drop	tear	bite	don't
turn	knock	basket	gallop	fur	write	crayon	tie
