finish	later	Kathy	spoil	bath	night	tickle	sleep
lose	always	hurt	exercise	party	warm	daughter	otherwise
open	push	lift	stand	hide	bring	wrap	later
stop	affliction	yeah	sometimes	pardon	www	whoops	retribution
turn	knickers	round	put	give	pop	money	paper
