break	lose	bite	open	yours	press	care
change	scream	my	yourself	m	strong	each_other
lose	press	break	care	count	drop	yours
open	pick	back	together	all_gone	pull	hill
roll	read	down	bed	proper	bring	hill
stop	yes	spit	forget	kick	not	bite
turn	round	beepbeep	hide	empty	under	carry
