break	nasty	should	touch	ravel	trick	quite	reach
finish	arm	drop	own	biscuit	bow	otherwise	stick
lose	bump	meet	cry	hurt	alright	stand	rubber
open	mend	show	pinch	able	Paris	hide	Lanzarote
roll	oven	bin	stick	sand	bus	bubble	plane
turn	Granny_Smith	tie	treat	asleep	cream	ravel	stand
