break	five	cold	enough	home	hurt	because	headlight
burn	comb	wipe	nail	finger	wall	tap	throw
change	hold	tap	help	rub	send	tuck	wipe
close	shorts	hide	leg	thumb	comb	burn	all_gone
finish	also	Tigger	black	fluff	hungry	five	rip
lose	brush	person	but	purple	pink	zebra	same
turn	hear	name	rub	hair	fasten	tap	ask
