break	mind	nose	helicopter	wait	bed	change
change	leave	helicopter	tomorrow	nasty	borrow	count
finish	wait	sink	especial	tomorrow	yesterday	calm
open	beep	door	three	knock	warn	box
sink	tomorrow	hide	especial	leave	amaze	able
stop	act	him	time	test	them	man
