break	hard	police	difficult	wet	fun	horrible	further
burn	lift	perhaps	drip	collapse	send	bet	lick
close	drop	wake	lie	ask	pajamas	any	eye
finish	tuck	hello	wake	build	tell	love	hit
lose	purple	dirty	horrible	difficult	pizza	melon	wet
open	last	dirty	always	work	wet	happy	much
roll	drink	anyway	yesterday	around	hen	bush	cherry
stop	friend	start	a_lot_of	pizza	why	drink	proper
turn	inside	their	into	lift	until	head	take
