break	lick	raspberry	every	close	stand	proper	tire
close	till	fit	dinner	stand	every	bruise	thirty
finish	eye	deliver	lose	shout	throw	home	hear
lose	throw	mind	wash	lunch	prick	Naughty_Nicks	sometimes
