break	throw	drive	mat	slide	upside	thick	pick
change	money	cost	pence	five	start	knee	pound
close	shut	squirrel	slide	bring	black	only	door
destroy	fancy	wild	building	quick	Nana	hug	sad
finish	pop	excuse	further	lie	show	upside	all_gone
lose	don't	biscuit	wonder	hug	going	send	expect
open	hug	peel	puppy	empty	mix	park	kiss
roll	kiss	biscuit	cut	wind	suppose	hug	bed
stop	difficult	going	got	only	crash	destroy	badge
turn	peel	edge	flatten	pop	tidy	let	sideways
