break	stop	Nana	drop	fit	thank_you	push
change	plant	seed	moment	word	bite	sprout
finish	start	should	drink	let's	play	still
lose	hurt	pat	stroke	building	hot	if
stop	drop	break	throw	work	pick	hiya
turn	round	sharpen	listen	push	stop	our
