close	knock	blow	reach	wet	leg	away
dry	full	tire	nearer	awful	wobble	sticky
fill	nana	hide	finish	something	cafe	catch
finish	catch	fill	read	cafe	work	cook
lose	blow	hurt	read	try	wait	reach
roll	both	help	squash	manage	either	fit
