break	cot	miss	jump	leg	remember	show	knee
burn	either	shine	six	hot	cake	eye	Beauty
close	soon	bring	sort	grow	pull	love	mountain
fill	stay	shop	middle	beautiful	fence	fit	turn
finish	music	may	turn	stethoscope	happy	shout	letter
lose	dread	quarter	bore	wheel	mud	otherwise	behind
open	knock	mouth	book	slipper	medicine	car	mix
stop	Beverly	someone	hot	mean	shine	busy	my
teach	otherwise	fix	amaze	Saturday	wind	Mummys	somebody
turn	shout	brush	walk	fill	mirror	stethoscope	cut
