break	sticker	empty	black	all_gone	Percy	finish
finish	empty	black	hold	hide	all_gone	lose
lose	empty	friend	finish	hold	seal	too
open	make	read	use	could	reverse	um
turn	tickle	stick	fall	move	camera	name
