break	arm	fault	build	pinch	apart	hurt	mind
change	water	bus	rabbit	iced	sound	pear	house
close	straighten	bury	find	chicken	Tuesday	by	pinch
finish	straighten	fetch	bury	quick	proper	next	press
lose	money	middle	more	board	cake	bury	dinner
open	bonfire	school	wait	excuse	show	night	try
roll	bun	book	play	bed	bonfire	rabbit	burger
stop	all_gone	silly	watch	tire	careful	after	look
teach	press	sing	stand	anyway	bed	normal	sometimes
turn	bring	way	box	hit	bury	sort	top
