break	Jon	chip	giraffe	hm	hungry	whoo	ready
close	horse	stop	open	d	twist	turn	leg
finish	race	read	magazine	draw	r	drop	use
lose	drop	ice	lemon	pass	red	genmod	race
open	close	used	speak	pick	stop	read	fix
roll	stop	similar	pita	close	work	warm	leg
stop	close	roll	work	sleep	warm	used	open
turn	horse	close	twist	poor	leg	head	arm
