break	run	wet	orange	rip	Burt	busy	mix
close	hang	pineapple	middle	mud	uhhuh	okay	everyone
dry	yours	clown	pretty	Burt	silly	tight	high
kill	picture	chicken	mile	puzzle	fish	by	snail
lose	guitar	dinner	tum	toe	bump	comb	tail
open	blow	guitar	dinner	er	fridge	tight	start
stop	sorry	pant	darling	sad	swallow	Mister	mind
turn	sky	poke	wash	middle	corner	swim	bag
