close	head	taste	eye	bib	hair	perhaps	sheep
lose	know	toy	soon	biscuit	hurt	manage	lemonade
open	sheep	bib	hair	dungaree	head	jump	trouser
stop	seaside	zoo	bring	read	walk	cut	today
turn	sand	cold	lots_of	yours	window	spoon	wait
