break	bird	enjoy	lots_of	chip	suppose	because
close	count	tip	bring	head	mind	fringe
lose	bring	fringe	friend	mind	close	please
open	tip	tell	count	night_night	bring	sleep
turn	count	tip	sing	hold	push	use
