boil	b	what's	letter	bag	umbrella	cup	roof
break	crush	kind	bad	seem	help	feed	struggle
close	open	asleep	day	door	chair	ladder	freeze
finish	keep	us	nurse	g	fair	collect	instruction
freeze	nurse	treat	expect	manage	lie	sing	afraid
lose	damage	spend	drop	cook	television	clean	biscuit
open	close	bend	press	mouth	lie	lift	pajama
roll	cut	hedge	front	chemical	Mister_silly	best	Dan
stop	station	laugh	fish	bad	tweettweet	idea	throw
turn	goodness	push	fly	bring	hook	knock	expect
