break	dark	lose	sick	sure	forget	quite
change	bath	note	basket	bubble	hug	milk
close	store	candle	dark	five	six	mean
finish	ever	sing	dodie	tire	sick	till
lose	cross	in_case	break	man	hug	card
melt	heavy	cup	hungry	grape	poor	muscle
stop	ours	madam	place	last	bottom	time
