break	tall	apart	all_gone	tear	pull	suit	once
change	climb	tooth	ride	birth	sore	drink	shoulder
dry	write	happy_birthday	brush	window	shutter	shoulder	send
finish	lot	quite	injury	trouser	oh_my_goodness	breakfast	write
lose	slow	silly	crawl	wow	run	shoulder	oh_my_goodness
open	yet	cottage	door	bag	fire	boss	trip
roll	pin	ring	clock	hippo	iron	elbow	front
stop	being	Polly	cold	drive	naughty	asleep	live
turn	garden	round	conductor	wheel	ring	inside	oh_my_goodness
