break	Mickey_Mouse	dirt	bad	quick	empty	c_d	wing	steady
change	chimney	wall	tray	knicks	rub	Mister_Crocodile	lilo	peel
close	twist	peel	without	Mister_Crocodile	mine	horse	open	way
dry	fork	lilo	spout	eensie	tray	towel	Mister_Crocodile	wake
finish	peach	game	bowl	Weetabix	building	chimney	first	tray
lose	g	Weetabix	xylophone	chimney	wall	our	purple	p
open	close	knicks	listen	door	hit	shut	cross	new
roll	bulldoze	fiddle	biup	bread	pretty	caravan	willie	bye
stop	knicks	steady	stiff	lilo	fall	chair	coat	pick
turn	head	loop	see_saw_marjorie_daw	tape	Humpty_Dumpty	watch	stiff	shirt
