break	swan	snake	pipe	carry	Humpty_Dumpty	spoon	ice
change	fun	pound	swan	yellow	bird	queen	dong
close	fact	collect	ignore	eye	suitcase	brick	bean
finish	bring	din	ham	cheese	ready	care	watch
lose	bow	wash	hot	dear	cold	picture	hiccup
open	near	watch	hammer	air	seaside	spray	trailer
roll	after	zoo	lawn	round	market	sand	read
stop	station	chip	bus	cheese	first	lawn	itself
turn	round	press	talk	its	arm	wheel	balloon
