break	sand	enjoy	already	tire	pretty	tip
close	friend	zoo	flag	fringe	poke	count
finish	pants	Humpty	Dumpty	great	enjoy	lie
lose	fur	stick	friend	ear	close	fringe
open	end	door	proper	probable	bottom	button
turn	corner	wrong	way	around	arm	face
