break	Ellie	cucumber	James	bet	drop	though
finish	sweep	James	first	open	oh_my_goodness	suppose
lose	comb	take	tie	hair	ask	press
open	finish	box	tip	brick	sweep	found
stop	all_gone	why	cry	misery	enough	lot
turn	round	corner	pussy	fine	meat	try
