break	underneath	bump	disgust	Spiderman	Little_Tykes	share	lounge	comfy	knit
dry	empty	apple	disgust	flush	switch	straight	clothes	food	blanket
finish	near	press	until	instead	wall	hear	umbrella	picnic	feeble
lose	ticket	empty	twist	nod	umbrella	fix	yuck	slice	five
open	knock	spoil	pour	half	front	part	brick	hold	blouse
roll	sheet	asleep	ink	arm	lettuce	star	hang	nothing	sofa
stop	beep	soon	himself	ready	peel	Lala	cucumber	switch	flush
teach	fossil	shock	yellow	Mr_Messy	library	Saturday	whisk	from	Po
turn	bend	Shaun	cheek	handle	twist	wiggle	escape	lift	Little_Miss_Stubborn
