break	asleep	rain	dirt	Wayne	quackquack	bed
finish	window	outside	Henry	Spot	Gordon	snake
open	ride	turn	with	find	here	build
stop	fish	Granddad	penny	sock	giraffe	snake
turn	open	find	get	ride	other	poor
