break	corn	stick	teddy	red	quail	white
close	gisps	hello	uhoh	sss	eat	sticky
finish	stop	open	pull	sleep	aeroplane	scrape
open	finish	stop	know	rain	pull	nine
stop	finish	open	pull	know	aeroplane	sleep
turn	lie	slip	dress	petrol	er	ledge
