break	chair	knock	post	turn	dog	color
finish	twelve	Balob	whoosh	castle	seven	weed
open	ripe	pretend	seven	fire	ourselves	summer
roll	cook	wibble	watch	fix	carry	pattern
turn	post	shape	Kate	hat	purse	hand
