break	broken	lady	Land_Rover	wheel	guard	dress
close	hard	quiet	butt	honey	Lancaster	police
roll	turn	cut	catch	bash	miss	never
stop	right	pull	police	bash	quiet	hard
turn	then	bash	flat	roll	right	away
