break	finish	cook	rain	crawl	poor	tall
close	ten	side	paint	eye	bash	holiday
finish	break	rain	tall	think	Clio	expect
lose	head	knee	bump	own	crawl	birth
open	hear	find	can't	fit	eat	help
stop	expect	spill	soon	paint	bash	already
