burn	kiss	ready	fix	medicine	squish	spoil
lose	spoil	click	turn	ready	hole	kiss
open	hospital	read	swim	squeak	eat	hug
stop	grape	sugar	Matey	William	Eureka	duck
turn	jump	ship	sometimes	lose	floor	hole
