break	let	tire	excuse	wait	catch	hide
finish	hide	right	bread	rubble	stick	eight
lose	tire	bag	tomato	salami	whistle	pooppoop
open	hold	drop	past	pen	read	lose
stop	hide	out	machine	now	wash	man
turn	pull	pick	round	Duncan	fix	catch
