break	pull	burn	bake	okay	open	let
burn	lemon	banana	peck	animal	pull	house
finish	all_gone	cheese	ready	Playbus	saucepan	peach
lose	hit	need	animal	Becky	cut	car
open	frighten	bake	break	jump	chip	run
roll	pot	balloon	mouth	bird	car	stick
stop	burn	hit	peck	lemon	break	banana
