begin	open	bed	crash	try	make	pretend
boil	part	dead	lion	spoon	bean	monkey
close	bed	open	next	knick	sit	sock
kill	wear	cover	elephant	throw	win	wrong
open	close	begin	doll	bed	something	sock
stop	throw	very	start	call	wear	naughty
turn	sort	dump	begin	hit	holiday	start
