break	sore	inside	who	home	cry	p
close	shut	peekaboo	open	fill	dump	rock
fill	stuff	from	shop	thing	bottom	shed
lose	got	squeeze	blow	because	police	will
open	shut	close	turn	dump	cab	peekaboo
roll	sock	seesaw	candle	push	turn	peep
stop	traffic	park	color	rain	from	when
turn	thirteen	sock	day	ride	whip	n
