break	shoe	Charlie_Chalk	cook	yours	it's	naughty
dry	fold	pack	pretend	walk	gallop	Poppy
finish	fall	tum	wet	dress	day	Cradle_and_all
lose	mind	brick	rest	bed	door	pool
open	ear	friend	head	turn	watch	knock
turn	head	open	ear	watch	hand	bowl
