break	small	road	station	shut	sweep	animal
finish	then	push	clean	right	cheese	blow
lose	find	drop	eat	kick	bring	blow
open	pass	hide	draw	trump	beepbeepbeepbeep	hey
roll	kick	take	bang	sleep	blow	speak
stop	hello	press	way	say	Toby	peeppeeppeep
turn	will	know	work	swim	hide	around
