finish	write	tea	horse	asleep	teddy	Miss_Splendid
open	twen	throw	loud	gorilla	fly	hot
stop	play	altogether	twen	Tom	Miss_Splendid	rock
turn	finger	snake	shoulder	tea	lion	horse
