break	cover	cry	big	five
finish	ab	Wye_Bird	cloth	tin
lose	cook	thanks	whee	tree
open	hurt	gorgeous	purple	way
stop	pour	to	boy	Baa_baa_black_sheep
turn	purple	fetch	fix	zip
