break	number	chin	five	ow	horn	leg
burn	broke	rip	throw	hooray	apple	sharp
close	curtain	dinosaur	e	f	eskimo	d
finish	ready	cover	fall	alright	cry	all_gone
lose	curtain	shake	for	enough	granny	give
open	purple	pig	stop	happen	gorgeous	wear
roll	sausage	trouser	lid	ring	shoe	paper
stop	rip	burn	alright	Baa_baa_black_sheep	throw	daddy
turn	zip	tip	tuck	sky	high	throw
