break	drop	pat	build	squash	stroke	spoil	stop
burn	over	phone	love	skirt	rest	milk	roll
dry	err	horn	rain	whoopsie	uhoh	library	sweet
finish	know	tickle	milk	pant	Jo	dream	yesterday
lose	bump	odd	burn	upside	pat	drop	click
open	pat	shut	love	drop	stop	read	write
roll	phone	backwards	beside	track	France	Christmas	steady
stop	Kathy	Kathy_Lewis	kettle	sticker	trump	flower	upstairs
turn	page	press	track	light	chop	wall	line
