break	sandwich	ham	your	wheel	hungry	then
close	key	cob	dodo	trouser	gee	star
dry	tidy	then	pence	exercise	small	hurt
finish	kick	dress	knick	about	am	work
lose	wheel	dread	e	doo	dada	ready
stop	pita	jam	cry	giraffe	snake	high
